数理科学基礎
身体運動・健康科学実習Ⅱ(2S)
計量社会科学
身体運動科学(PEAK)
フランス語中級（表現練習）
ことばと文学Ⅰ
先進科学Ⅲα
情報メディア基礎論
先進科学Ⅱα
初年次ゼミナール理科
スペイン語上級（作文）
社会科学ゼミナール（法・政治）
ポルトガル語初級（第三外国語）
先進科学Ⅰα
日本語上級
全学自由研究ゼミナール　(農作物を知る)
全学自由研究ゼミナール　(国際環境エネルギー経済学概論「エネルギーのベストミックスとは～政策とビジネスの現場から」)
全学自由研究ゼミナール(PEAK)(Decision Analysis practice)
全学自由研究ゼミナール　(再生可能エネルギー実践講座)
身体運動・健康科学実習Ⅱ(PEAK)
全学自由研究ゼミナール(PEAK)(スポーツ・身体運動実習I)(Sports and Fitness Exercise I)
スポーツ・身体運動実習Ⅰ(PEAK)
身体運動・健康科学実習Ⅱ（ﾒﾃﾞｨｶﾙｹｱ1）
スポーツ・身体運動実習Ｉ(PEAK)
経済政策
スペイン語上級（演習）
スペイン語上級（会話）
現代生命科学Ⅱ（文科生、理一生）
応用日本語(4)(PEAK)
英語二列Ｗ（ALESA）
応用日本語(10)(PEAK)
応用日本語(6)(PEAK)
環境と生物資源
天然物の科学
分子化学概論
森林環境資源学
生物素材の科学
現代生物学
自然科学ゼミナール（情報科学）
基礎方程式とその意味
人類科学
世界史論
自然科学ゼミナール（数理科学）
人文科学ゼミナール（哲学・科学史）
比較思想
自然科学ゼミナール（生命科学）
学術フロンティア講義　(Sound-Art Creation)
全学自由研究ゼミナール　(実践的プログラミング)
全学自由研究ゼミナール　(問題解決のための思考法)
全学自由研究ゼミナール　(タイ医学ゼミナール)
全学自由研究ゼミナール　(ベルカント研究ゼミナール)
学術フロンティア講義　(合唱音楽の実践的研究)
全学自由研究ゼミナール　(豊かな人生設計に必要な金融リテラシーを学ぶ　～実務の最前線で奮闘する官僚が語る～)
フランス語中級（読解）
全学自由研究ゼミナール　(日本の医療の光と影~医療と福祉の現場から考える現代社会)
全学自由研究ゼミナール　(グラフィックデザイン概論)
全学自由研究ゼミナール　(難民から学ぶ「人間の安全保障」)
生体医工学基礎Ⅰ
化学薬学概論
社会システム工学基礎Ⅰ
全学自由研究ゼミナール　(実践的機械学習研究)
全学自由研究ゼミナール　(情報システム利用入門)
現代工学基礎Ⅰ
モデリングとシミュレーション基礎Ⅰ
物質・生命工学基礎ⅠＡ
総合工学基礎Ⅰ
環境・エネルギー工学基礎Ⅰ
物質・生命工学基礎ⅠＢ
情報システム基礎Ⅰ
植物医科学
生物薬学概論
応用動物科学Ⅰ
森の生物学
微生物の科学
ヘルス・サイエンス概論
心身の実践科学
比較文化論
臨床心理学概論
看護学概論Ⅰ
外国文学
言語文化論
水と土の環境科学
食の科学
食糧と環境
計算機プログラミング
計算の理論
生物情報科学
現代経済理論
地球惑星物理学入門
人文科学ゼミナール（歴史学）
全学自由研究ゼミナール　(エルンスト･ユンガーを読む)
全学体験ゼミナール　(オープンガバナンスによる市民参加型社会の体験（川崎市宮前区）)
全学自由研究ゼミナール　(創造的読書論を読む)
全学自由研究ゼミナール　(大相撲の社会学)
全学自由研究ゼミナール　(East-West Interactions and the Formation of Modern Societies)
全学自由研究ゼミナール　(競争法・消費者法・情報法からの法学入門)
全学自由研究ゼミナール　(対称多項式入門)
学術フロンティア講義　(歴史史料と地震・火山噴火)
全学自由研究ゼミナール　(プロジェクト志向の翻訳とMT「実用化」時代の翻訳者コンピテンス)
全学自由研究ゼミナール　(MATLABによる生体信号処理入門)
全学体験ゼミナール　(フォーミュラレーシングカーを作るC)
学術フロンティア講義　(数理科学の研究フロンティア：宇宙、物質、生命、情報)
全学自由研究ゼミナール　(駒場すずかんゼミナール『学藝饗宴』)
全学体験ゼミナール　(医学に接する)
全学自由研究ゼミナール　(Medical Biology入門)
全学自由研究ゼミナール　(より良い教育を考える)
全学自由研究ゼミナール　(色と数字で読み解く中国古典小説)
学術フロンティア講義　(地球惑星科学のフロンティア)
全学自由研究ゼミナール　(国連と文化1)
全学自由研究ゼミナール　(最新の宇宙像)
全学自由研究ゼミナール　(「教える」と「学ぶ」を学ぼう　ー教材から考える教授学習支援論ー)
全学自由研究ゼミナール　(図書館の学び・活用・提案①)
全学自由研究ゼミナール　(平和のために東大生ができること)
全学自由研究ゼミナール　(芸術を言語化する)
全学体験ゼミナール　(最先端メディカルゲノムサイエンスを体験する)
全学自由研究ゼミナール　(室町・戦国時代の法制史料を読む		)
全学体験ゼミナール　(囲碁で養う考える力)
全学自由研究ゼミナール　(ブランドデザインスタジオ２０ 「新しい『音楽』のブランドを創る」)
全学体験ゼミナール　(極限的プラズマの世界―核融合から宇宙まで―)
全学自由研究ゼミナール　(作曲＝指揮)
学術フロンティア講義　(公認心理師の職責)
全学自由研究ゼミナール　(現代ビジネス法務の最前線――「デザイン経営」と法)
全学自由研究ゼミナール　(ミュオグラフィ科学/Muography Science)
学術フロンティア講義　(最新生命科学入門 ―駒場で芽生える新たなライフサイエンスを例に―)
学術フロンティア講義　(心に挑む―東大の心理学)
学術フロンティア講義　(環境安全衛生入門－身のまわりのリスクから学び、安心へつなげる－Introduction to Environmental Health and Safety)
全学体験ゼミナール　(東大アントレプレナーシップ・サマー・ブートキャンプ（UTokyo Entrepreneurship Summer Bootcamp for Freshmen）)
学術フロンティア講義　(新しい医療が社会に届くまで　 ～データサイエンスが支える健康社会～)
全学体験ゼミナール　(英語で拓く工学世界への扉 / Let’s Open the Door to the World of Engineering in English)
全学体験ゼミナール　(医工学入門)
全学体験ゼミナール　(海で学ぶ　－臨海実験所における海洋体験実習－)
全学自由研究ゼミナール　(読み破る政治学　－多読・乱読・精読ゼミ－)
学術フロンティア講義　(「調査でみる社会、歴史、アジア」)
全学自由研究ゼミナール　(モジュラー曲線と数論幾何学)
全学体験ゼミナール　(飛行ロボットを作って飛ばす)
全学体験ゼミナール　(数理物理への誘い－解析力学と相対性理論－)
全学体験ゼミナール　(Arduinoを使って応用システムを作ろうC)
全学自由研究ゼミナール　(カオス力学系入門)
全学体験ゼミナール　(鉱物資源はどこでできるのか？ －フィールド調査と鉱物採集の旅－)
全学体験ゼミナール　(コンピューターで蛋白質分子のしくみを調べよう)
全学体験ゼミナール　(証明と計算機)
全学体験ゼミナール　(生体分子機械の1分子分析とその応用)
全学自由研究ゼミナール　(化学システム工学を冒険しよう～ショートオムニバス＆研究室見学～)
全学体験ゼミナール　(多変数関数の微分)
全学自由研究ゼミナール　(細胞培養に挑戦してみよう)
全学自由研究ゼミナール　(トポロジー入門)
全学自由研究ゼミナール　(バーチャルツールを使って医療者の臨床業務を体験してみよう)
学術フロンティア講義　(現代の数学 －その源泉とフロンティア －)
全学体験ゼミナール　(感動体験！　鉄の世界から未来を眺める)
全学体験ゼミナール　(じっくり学ぶ数学 I)
全学体験ゼミナール　(バイオマテリアル作り体験)
全学自由研究ゼミナール　(動物細胞研究法入門)
全学自由研究ゼミナール　(伊豆に学ぶプラス２０１９Ｓ１　「感じる・考える・行動する」サイクルの発動)
全学体験ゼミナール　(超高分解能電子顕微鏡で観る物質中の原子のならび)
全学自由研究ゼミナール　(生命の生存戦略をひもとくケミカルバイオロジー)
全学自由研究ゼミナール　(基礎植物学輪講 III)
全学自由研究ゼミナール　(リチウムイオン電池を作ってみよう)
全学自由研究ゼミナール　(医薬品工場を見学してみよう)
全学自由研究ゼミナール　(微生物研究の最前線)
学術フロンティア講義　(数理工学のすすめ)
学術フロンティア講義　(サイバネティクス入門  -物理・生物と情報を繋げるシステム科学-)
全学自由研究ゼミナール　(物理学汎論)
全学自由研究ゼミナール　(昆虫と節足動物の生物学)
全学自由研究ゼミナール　(未来を拓く化学)
全学体験ゼミナール　(化学の最前線を体験する)
全学体験ゼミナール　(考える力を養う／コントラクトブリッジ)
学術フロンティア講義　(海研究のフロンティアＩ)
全学自由研究ゼミナール　(ナノマイクロ3Dアートを探求しよう)
全学自由研究ゼミナール　(３次元スキャナ・プリンタを使ったデジタルものづくり体験)
全学自由研究ゼミナール　(ロボティック医療システム)
全学体験ゼミナール　(ロボット競技を体験しようA)
全学体験ゼミナール　(全国高校生社会イノベーション選手権I)
全学自由研究ゼミナール　(現代生物学研究の独創と創造)
全学自由研究ゼミナール　(電池レスIoTデバイスのためのエネルギーハーベスティング)
全学自由研究ゼミナール　(ウェアラブル体感型VRシステムを作ってみよう)
学術フロンティア講義　(科学技術の進歩と作物生産の向上)
全学自由研究ゼミナール　(Design ThinkingThis is a seminar series that introduces people to the practical process of design - you will learn the basic methods that
学術フロンティア講義　(エコで安全で健康な社会を実現する機械工学)
学術フロンティア講義　(30年後の世界へ——「リベラル・アーツとしての東アジア学」を構想する)
全学体験ゼミナール　(森に学ぶ（ふらの）前編　北海道の大地に学ぶ)
全学体験ゼミナール　(都市の緑のインタープリター養成－子どもに伝える自然体験－)
全学自由研究ゼミナール　(生命科学の最前線)
全学体験ゼミナール　(工学研究の最前線を支える実験装置を体感・体験する)
全学自由研究ゼミナール　(学部学生のための研究入門コース-UROP1  (Undergraduate ResearchOpportunity Program 1))
全学体験ゼミナール　(フォーミュラレーシングカーを作るA)
全学体験ゼミナール　(人の手で造り管理する森林－林業・風景計画の視点から)
全学体験ゼミナール　(工学体験ゼミ)
全学体験ゼミナール　(フィールドで考える野生動物の保護管理)
全学体験ゼミナール　(春の奥秩父を巡る)
全学体験ゼミナール　(危険生物の知識（春編）)
全学体験ゼミナール　(ラテンアメリカ音楽演奏入門1)
全学体験ゼミナール　(ロボット競技を体験しようC)
全学体験ゼミナール　(空間デザイン実習)
全学自由研究ゼミナール　(ジビエを通して獣害問題と向き合うＳ１充実の学園祭。ジビエ販売を通して問題の本質を伝える企画系ゼミ)
全学自由研究ゼミナール　(ビーントゥバーチョコレート作り体験から学ぶべきことＳ１学園祭においてビーントゥバーチョコレー体験教室を運営。ビーントゥバーチョコレート作り体験から学ぶべきを伝える企画系ゼミ)
全学自由研究ゼミナール　(最先端の生命科学研究を駒場で体験する)
全学自由研究ゼミナール　(生命の普遍原理に迫る研究体験ゼミ)
全学自由研究ゼミナール　(2019年度Sセメスター 最先端のサイエンスを駒場で研究体験するプログラム)
スペイン語初級（インテンシヴ）
スペイン語初級（演習）
イタリア語上級（会話）
フランス語上級（読解）
美術論
記号論理学Ⅰ（文科生）
社会・社会思想(PEAK)
力学Ａ
特別英語
ロシア語初級（演習）
情報認知科学
フランス語二列
エネルギー工学の基礎(PEAK)
熱力学
中国語一列①
力学Ｂ
身体運動・健康科学実習Ⅰ
全学自由研究ゼミナール(PEAK)(ことばと文学/Reading Modern Japanese Short Stories)
日本語日本文学Ⅱ
スペイン語中級（会話）
ことばと文学(PEAK)
ポーランド語初級（第三外国語）
ベトナム語初級（第三外国語）
ロシア語中級（インテンシヴ）
フランス語中級（作文）
中国語中級（演習）
韓国朝鮮語上級（会話）
セルビア・クロアチア語中級（第三外国語）
図形科学Ⅰ
図形科学Ｂ
図形科学（文科生）
ドイツ語初級（演習）
日本語二列Ｃ
ドイツ語初級（会話）
フランス語初級（読解）
人文科学ゼミナール（テクスト分析）
東洋古典学
日本文化論Ⅰ
歴史と文化
ロシア語上級（演習）
言語応用論
現代文化人類学
教育臨床心理学
記号論理学Ⅰ（理科生）
ロシア語初級（インテンシヴ）
ドイツ語初級（インテンシヴ）
全学自由研究ゼミナール(PEAK)(社会・社会思想)(Sociology and Social Thought)
基礎統計
全学自由研究ゼミナール(PEAK)(エネルギー工学の基礎)(Basic Energy Engineering)
東洋思想史
自然現象とモデル
スペイン語初級（会話）
イタリア語初級（会話）
心理(PEAK)
イタリア語初級（演習）①
有機反応化学
フランス語中級（演習）
ロシア語二列
微分積分学続論
韓国朝鮮語初級（演習）①
韓国朝鮮語初級（演習）
生態学
ドイツ語初級（作文）
日本語一列①
イタリア語初級（作文）
韓国朝鮮語初級（インテンシヴ）
ドイツ語中級（インテンシヴ）
統計データ解析Ⅱ
韓国朝鮮語中級（作文）
韓国朝鮮語初級（会話）
イタリア語二列
宇宙科学実習Ⅱ
インドネシア語中級（第三外国語）
物質化学（文科生）
スペイン語中級（インテンシヴ）
スペイン語初級（第三外国語）
ヒンディー語中級（第三外国語）
スペイン語初級（作文）
ロシア語上級（会話）
韓国朝鮮語二列
イタリア語中級（インテンシヴ）
上海語初級（第三外国語）
セルビア・クロアチア語初級（第三外国語）
中国語初級（表現練習）
比較地域史
西洋思想史
植物科学
動物科学
現代物理学
ロシア語初級（演習）①
全学自由研究ゼミナール(PEAK)(心理)(Psychology)
中国語中級（作文）
古典語中級（ギリシア語）Ⅰ
数学Ⅰ②(PEAK)
インドネシア語初級（第三外国語）
全学自由研究ゼミナール(PEAK)(数学I②)(Mathematics I②)
イタリア語中級（表現練習）
ロシア語中級（会話）
韓国朝鮮語初級（第三外国語）
化学熱力学
ヒンディー語初級（第三外国語）
中国語テクスト分析Ⅰ
フランス語テクスト分析Ⅰ
中国語中級（会話）
中国語中級（読解）
身体運動科学
解析学基礎
思想・芸術Ⅳ(PEAK)
常微分方程式
スペイン語二列③
英語二列Ｃ
ロシア語中級（演習）
イタリア語初級（インテンシヴ）
統計学(PEAK)
全学自由研究ゼミナール(PEAK)(統計学)(Basic Statistics)
惑星地球科学Ⅰ（文科生）
アラビア語中級（第三外国語）
現代教育論
西洋古典学
現代国際社会論
文化人類学Ⅰ
振動・波動論
図形科学演習Ⅱ
全学自由研究ゼミナール(PEAK)(思想・芸術IV)(Ideas and Arts IV)
日本語日本文学Ⅰ（理科生）
フランス語初級（演習）
ドイツ語中級（会話）
イタリア語初級（第三外国語）
記号論
初年次ゼミナールⅡ(PEAK)
スペイン語中級（演習）
ロシア語初級（第三外国語）
惑星地球科学Ⅰ(理科生)
イタリア語初級（表現練習）
統計物理学
アラビア語初級（第三外国語）
表象文化論
歴史社会論
数理科学概論Ⅰ(文科生)
宇宙科学Ⅱ（理科生）
古典語初級（ギリシア語）Ⅰ
数学Ⅱ②(PEAK)
全学自由研究ゼミナール(PEAK)(数学Ⅱ②)(Mathematics II②)
全学自由研究ゼミナール(PEAK)
韓国朝鮮語中級（演習）
ロシア語上級（読解）
ヘブライ語初級（第三外国語）
中国語上級（読解）
社会行動論
タイ語初級（第三外国語）
イタリア語中級（演習）
イタリア語上級（作文）
社会Ⅰ
化学基礎(PEAK)
韓国朝鮮語上級（作文）
全学自由研究ゼミナール(PEAK)(化学基礎)(Introductory Chemistry)
トルコ語中級（第三外国語）
古典語初級（ラテン語）Ⅱ
イタリア語中級（読解）
数学Ⅱ
数学Ⅰ
ことばと文学Ⅱ
歴史(PEAK)
全学自由研究ゼミナール(PEAK)(歴史)(History)
倫理Ⅰ
イタリア語テクスト分析Ⅰ
歴史Ⅱ
思想・芸術Ⅱ(PEAK)
全学自由研究ゼミナール(PEAK)(国際・地域II)(International and Area Studies II)
全学自由研究ゼミナール(PEAK)(思想・芸術Ⅱ)(Ideas and Arts II)
スポーツ・身体運動実習(ﾒﾃﾞｨｶﾙｹｱ2)
国際・地域Ⅱ(PEAK)
身体運動・健康科学実習Ⅰ（ﾒﾃﾞｨｶﾙｹｱ2）
中国語上級（会話）
応用日本語(2)(PEAK)
トルコ語初級（第三外国語）
韓国朝鮮語一列①
適応行動論
認知脳科学
科学史
韓国朝鮮語中級（表現練習）
韓国朝鮮語中級（会話）
日本語ｲﾝﾃﾝｼﾌﾞⅢ(PEAK)
全学自由研究ゼミナール(PEAK)(社会・制度Ⅲ)　(Introduction to Economic Policy)
スポーツ・身体運動実習(ﾒﾃﾞｨｶﾙｹｱ3)
イタリア語初級（演習）
社会・制度Ⅲ(PEAK)
古典語初級（サンスクリット語）Ⅰ
モンゴル語初級（第三外国語）
フランス語中級（会話）
身体運動メカニクス
ドイツ語初級（表現練習）
韓国朝鮮語中級（インテンシヴ）
フランス語初級（会話）
フランス語上級（会話）
近現代史Ⅰ
社会・制度III(PEAK)
中国語初級（演習）
進化学
システム論
超分子化学
スペイン語中級（作文）
物理科学Ⅰ（文科生）
中国語上級（演習）
計算機システム概論
図形科学演習Ⅰ
数理科学概論Ⅲ(文科生)
言語構造論
ロシア語初級（会話）
古典中国語
ペルシア語初級（第三外国語）
広東語初級（第三外国語）
アラビア語初級（会話）
民族文化論
国際関係史
ベトナム語中級（第三外国語）
国際関係論
地域生態学
環境物質科学
近現代史
日本の政治
社会思想史
社会環境論
物理学基礎(PEAK)
全学自由研究ゼミナール(PEAK)(物理学基礎）(Introductory Physics)
宇宙科学Ⅰ（理科生）
韓国朝鮮語テクスト分析Ⅰ
健康スポーツ医学
古典日本語
古典語中級（ラテン語）Ⅰ
台湾語中級（第三外国語）
スペイン語中級（読解）
惑星地球科学Ⅱ(理科生)
中国語上級（作文）
韓国朝鮮語中級（読解）
現代倫理
スポーツ・身体運動実習(ﾒﾃﾞｨｶﾙｹｱ1)
宇宙科学Ⅰ（文科生）
科学技術基礎論Ⅱ
古典語初級（ラテン語）Ⅰ
